LS,FS,RS,Theta_d,vel_R,vel_L
0.8806,0.6426,0.3222,0.3128,6.7854,3.0494
0.5631,0.7649,0.6106,0.2756,4.349,5.854
0.0932,0.8904,0.9494,0.1533,1.2432,6.8071
0.6787,0.1516,0.7596,0.461,4.8265,3.8114
0.1347,0.6239,0.8958,0.5234,2.8431,5.6338
0.9746,0.6581,0.0439,0.6228,3.7103,3.7728
0.7515,0.6911,0.3551,0.5765,3.7837,6.1927
0.1576,0.8067,0.8259,0.045,0.4614,8.232
0.1949,0.3226,0.0496,0.3113,6.2513,1.3005
0.0806,0.0841,0.765,0.0125,-0.6508,8.5616
0.1725,0.6624,0.8495,0.5438,4.0402,4.7864
0.1577,0.0393,0.8676,0.3952,5.103,2.3237
0.4902,0.7206,0.2384,0.7202,5.7039,3.6397
0.1567,0.5793,0.6771,0.1964,2.2376,6.4475
0.4861,0.512,0.9941,0.1189,2.9962,7.2571
0.1312,0.2183,0.5859,0.6965,1.8491,6.5939
0.5412,0.4461,0.8446,0.3773,6.1789,4.0385
0.9484,0.5117,0.1484,0.1718,8.2033,0.4049
0.6027,0.0987,0.9816,0.5151,1.6193,6.4894
0.9861,0.16,0.7589,0.3816,5.7491,2.9657
0.78,0.7387,0.5101,0.8524,6.9641,3.2913
0.3806,0.1889,0.9141,0.0909,9.1531,-0.187
0.711,0.4649,0.2583,0.7313,5.8683,3.6086
0.2595,0.9109,0.1933,0.3881,5.7736,3.2284
0.6389,0.314,0.6878,0.0733,9.1901,0.6048
0.5611,0.0937,0.7854,0.2673,6.9471,1.1083
0.5111,0.0511,0.9238,0.0378,9.8349,-2.2657
0.0129,0.8179,0.0911,0.9343,-2.3657,9.458
0.4022,0.5056,0.0969,0.3905,5.4147,2.6746
0.831,0.9659,0.5903,0.5287,5.3234,4.8243
0.106,0.1091,0.6561,0.2049,1.9857,6.201
0.0533,0.9466,0.8568,0.9616,-2.2278,9.8237
0.7684,0.0281,0.3005,0.5109,0.2377,7.0495
0.1915,0.0306,0.5071,0.9429,-2.2601,9.579
0.5195,0.3483,0.0902,0.8576,6.9331,1.0843
0.4119,0.2417,0.58,0.8406,0.9968,8.3704
0.1575,0.181,0.4164,0.3995,4.6338,4.0585
0.3195,0.0196,0.3102,0.9867,-2.9903,10.1698
0.4271,0.1754,0.6361,0.7256,1.8183,7.033
0.937,0.7341,0.9615,0.4545,5.0337,4.4925
0.29,0.9233,0.1867,0.8267,6.7788,2.1689
0.4575,0.0526,0.8253,0.4479,4.0396,3.5481
0.4026,0.8883,0.9298,0.4503,6.0094,4.1209
0.8748,0.0783,0.7084,0.7544,0.7052,7.1799
0.2485,0.0994,0.6198,0.3245,6.2479,1.8691
0.2393,0.5041,0.4494,0.3827,4.7576,4.5921
0.5286,0.0759,0.7303,0.9699,-2.0672,9.9257
0.4339,0.6931,0.2792,0.032,9.6826,-0.0764
0.0487,0.1043,0.7196,0.8813,-1.2311,8.7716
0.0537,0.6244,0.5537,0.1175,0.4381,7.163
0.4191,0.1524,0.1419,0.9856,8.582,-0.0353
0.8498,0.4239,0.5562,0.3329,6.5839,3.5956
0.6235,0.6339,0.1382,0.577,2.7552,5.7556
0.6457,0.9834,0.7896,0.7426,3.3447,6.6286
0.1189,0.2886,0.209,0.2766,2.9559,5.3641
0.3992,0.0884,0.7963,0.7143,1.2992,6.6977
0.4135,0.2897,0.2867,0.4367,4.9208,4.7284
0.9407,0.6514,0.1311,0.5752,2.7102,5.7319
0.4948,0.0776,0.8806,0.6299,2.2847,5.5922
0.1557,0.9839,0.2603,0.6943,2.0479,6.628
0.3083,0.765,0.3748,0.8777,1.0633,8.7029
0.77,0.2859,0.466,0.716,2.5876,7.0576
0.9238,0.854,0.709,0.9538,6.8642,2.8097
0.6762,0.1796,0.5543,0.5197,2.7599,6.1283
0.6717,0.6886,0.0973,0.9993,8.721,-0.6267
0.2293,0.668,0.6071,0.7981,1.3731,7.9058
0.9286,0.5684,0.2972,0.9576,8.2556,1.4521
0.5386,0.884,0.9328,0.6166,4.209,6.0269
0.7302,0.9039,0.2276,0.575,3.2601,6.0066
0.3325,0.0464,0.9943,0.0948,9.0859,-1.5731
0.782,0.135,0.6156,0.8153,0.4467,8.0333
0.3626,0.985,0.7444,0.9731,0.4824,9.5227
0.3473,0.131,0.415,0.3211,6.3836,2.0574
0.0086,0.9743,0.1507,0.0663,-0.7057,7.7427
0.7675,0.7739,0.0565,0.0533,9.6335,-1.9997
0.9953,0.6733,0.0372,0.79,5.8887,1.5123
0.2375,0.2027,0.3774,0.2223,7.6664,1.4115
0.9091,0.8727,0.8472,0.7556,4.9597,3.6895
0.5496,0.6437,0.9367,0.0616,2.6991,7.5245
0.3613,0.7564,0.0279,0.6553,4.0464,3.2387
0.5997,0.2194,0.5289,0.623,3.2431,5.9641
0.7758,0.979,0.3595,0.9807,8.4051,1.5877
0.149,0.0691,0.8699,0.9645,-2.0772,9.8577
0.1692,0.5109,0.2742,0.0538,0.6606,8.1363
0.2257,0.1294,0.9089,0.1377,8.5977,-0.1731
0.9116,0.9864,0.1299,0.8513,6.9501,1.4796
0.6027,0.2803,0.8401,0.7564,2.1378,7.4745
0.021,0.0663,0.2936,0.4612,4.7006,2.4963
0.813,0.5691,0.1407,0.2956,6.7156,1.8197
0.2556,0.2844,0.9052,0.2966,3.8924,5.5681
0.979,0.4589,0.2068,0.9237,7.9016,1.2081
0.5436,0.7349,0.027,0.3032,6.2792,0.9946
0.9231,0.698,0.6551,0.704,5.4944,4.441
0.0421,0.4616,0.7877,0.7423,0.5315,6.929
0.1572,0.3621,0.7837,0.962,-1.0933,9.7825
0.6255,0.037,0.7929,0.184,7.8965,-0.4985
0.248,0.7316,0.7161,0.3871,4.8341,4.5751
0.2899,0.5699,0.0066,0.6196,3.4287,3.5815
0.4036,0.5424,0.828,0.0676,2.2561,7.8762
0.9334,0.0723,0.2596,0.2349,7.3059,0.5116
0.5294,0.5746,0.3756,0.6253,5.0263,5.0239
0.1756,0.9823,0.0465,0.4952,8.5879,-1.073
0.1925,0.7511,0.1071,0.8951,7.4385,0.7595
0.4378,0.7097,0.015,0.3093,6.1524,0.9676
0.0654,0.3396,0.9766,0.5183,1.8104,5.9281
0.2162,0.162,0.8182,0.9535,-0.9467,9.68
0.037,0.4057,0.8782,0.904,-1.6638,9.0618
0.7521,0.7096,0.946,0.8078,2.9389,6.7318
0.325,0.2669,0.8951,0.7055,2.5981,6.9342
0.8726,0.1923,0.3188,0.7176,2.0236,6.9702
0.9726,0.9359,0.9245,0.7282,4.3543,3.4991
0.6125,0.3079,0.0906,0.5013,8.4461,-0.4245
0.6295,0.5603,0.1622,0.9648,8.347,0.3884
0.0413,0.3976,0.8541,0.623,2.1012,5.3501
0.89,0.5769,0.1455,0.9813,8.5326,0.0479
0.4276,0.6866,0.4351,0.6437,3.8156,6.3711
0.2575,0.4839,0.0197,0.1072,8.9027,-1.7222
0.6241,0.5186,0.9959,0.0653,8.6036,1.6477
0.8717,0.3023,0.5556,0.7112,2.7189,7.0165
0.6295,0.346,0.6745,0.701,3.0165,6.924
0.5254,0.6947,0.259,0.783,6.4203,3.0618
0.9536,0.5304,0.2474,0.182,8.1276,1.2786
0.4375,0.8717,0.2553,0.2991,6.8761,2.5824
0.9464,0.949,0.455,0.8054,6.6694,3.5604
0.4921,0.0373,0.8236,0.9355,-2.078,9.48
0.1063,0.6316,0.8115,0.8357,-0.06,8.2497
0.0686,0.3431,0.0555,0.1565,8.2881,-0.6655
0.7874,0.1341,0.578,0.9996,-1.7811,10.2529
0.7593,0.0276,0.3921,0.8214,-0.6679,7.9489
0.6278,0.2536,0.818,0.5827,3.8401,5.6071
0.4544,0.2084,0.8395,0.3724,5.991,3.1321
0.6084,0.9153,0.931,0.3897,5.154,4.9454
0.1705,0.5846,0.4507,0.399,4.6828,4.1265
0.4519,0.5873,0.81,0.6113,4.1504,6.0752
0.6194,0.1376,0.9997,0.7134,1.6921,6.8135
0.7663,0.2684,0.6562,0.6656,3.0268,6.5148
0.8897,0.111,0.6947,0.8746,-0.4959,8.7348
0.7195,0.7616,0.5981,0.2961,6.5386,3.5896
0.3343,0.1613,0.3455,0.5516,4.1324,4.5947
0.1726,0.8161,0.2893,0.1805,2.1568,6.6698
0.0297,0.255,0.5562,0.0616,-0.5406,7.8483
0.5205,0.6944,0.8115,0.5101,2.9928,7.2575
0.8724,0.3231,0.696,0.7812,2.1193,7.7197
0.5098,0.0544,0.4614,0.1572,8.2773,-0.668
0.4778,0.8731,0.8961,0.2893,4.4046,5.8456
0.9876,0.366,0.9548,0.7172,2.9418,7.0756
0.156,0.0453,0.9967,0.0863,9.1973,-1.6978
0.4545,0.1116,0.199,0.3282,6.2403,2.0048
0.4119,0.7816,0.7687,0.394,5.2478,4.905
0.904,0.5094,0.6326,0.6276,4.0966,6.1587
0.8574,0.9979,0.6781,0.0135,8.0617,1.7722
0.3386,0.6266,0.0995,0.9934,8.6499,-0.532
0.7844,0.9344,0.9573,0.4448,4.9699,4.2086
0.2698,0.279,0.1015,0.1641,8.2511,-0.1116
0.9267,0.8526,0.8716,0.3531,5.0081,3.5909
0.3729,0.5957,0.1139,0.418,5.1437,3.1251
0.234,0.4986,0.5074,0.3538,4.4243,4.8885
0.0344,0.0471,0.5619,0.4173,4.2454,3.1207
0.2116,0.8871,0.985,0.5215,3.1169,6.0308
0.1474,0.5344,0.0519,0.6871,4.5996,2.9799
0.1653,0.6397,0.0567,0.6702,4.404,3.2319
0.9516,0.5884,0.471,0.63,5.1634,5.0817
0.5617,0.5103,0.321,0.8451,7.1102,2.7185
0.9936,0.2514,0.7764,0.6882,2.6999,6.7329
0.1272,0.5294,0.4061,0.9887,-1.7237,10.1268
0.4671,0.6261,0.1192,0.3664,5.7961,2.5269
0.1729,0.3786,0.2752,0.0657,0.8281,8.0016
0.6042,0.3853,0.4801,0.4834,6.6723,3.4087
0.0762,0.2779,0.9418,0.1716,1.3347,6.5268
0.009,0.7021,0.5572,0.5876,2.3249,4.7171
0.9317,0.109,0.0557,0.17,8.1131,-0.4885
0.945,0.2504,0.0639,0.4701,4.8416,2.8795
0.0193,0.7891,0.5893,0.5656,3.4774,3.6979
0.7605,0.8417,0.6967,0.9296,6.7839,2.9566
0.4945,0.698,0.7073,0.7409,3.1452,7.1112
0.6254,0.9564,0.5279,0.3562,6.2612,3.985
0.0513,0.2467,0.5706,0.7269,0.8188,6.7535
0.4652,0.8569,0.8295,0.8363,2.2546,7.9854
0.2455,0.4203,0.6033,0.7072,2.463,6.9298
0.894,0.1529,0.9202,0.1443,8.5327,0.1175
0.147,0.738,0.6422,0.5952,3.1665,5.4284
0.4545,0.4934,0.1322,0.6091,4.0323,4.42
0.937,0.6079,0.6186,0.1965,7.2167,2.8848
0.5985,0.8049,0.2236,0.6079,4.4285,4.8095
0.1123,0.7193,0.3229,0.4108,4.5659,3.6864
0.1259,0.9557,0.7068,0.8555,-0.1208,8.5115
0.5295,0.5966,0.5713,0.8753,2.1613,8.0838
0.0592,0.039,0.3203,0.3454,5.7614,1.6612
0.8018,0.7959,0.6295,0.6152,4.9474,5.0854
0.1903,0.8474,0.8153,0.6303,3.0053,5.9721
0.8225,0.0091,0.5948,0.4687,4.4721,2.571
0.0277,0.963,0.3665,0.5473,3.295,3.9871
0.102,0.1146,0.4145,0.3982,4.36,3.7846
0.099,0.029,0.4021,0.1679,8.0972,-0.7988
0.9737,0.9937,0.4504,0.2526,7.2578,2.9658
0.014,0.3363,0.3125,0.595,2.263,4.8437
0.5681,0.824,0.6221,0.4333,5.9811,4.2138
0.1084,0.412,0.435,0.0118,-0.3823,8.5936
0.1024,0.0119,0.1762,0.1992,7.642,-0.562
0.4728,0.7114,0.2687,0.0421,9.5971,-0.0545
0.5512,0.7911,0.322,0.8572,7.2311,2.6027
0.0873,0.6294,0.922,0.8846,-0.8585,8.8441
0.7597,0.9164,0.0843,0.51,6.4241,1.5288
0.1992,0.9299,0.1258,0.5027,8.4779,-0.0881
0.7387,0.6833,0.8236,0.0116,8.0367,1.7715
0.0706,0.3004,0.0873,0.7633,0.5215,7.2764
0.0587,0.039,0.9122,0.3671,5.4738,1.9487
0.2502,0.271,0.5839,0.6171,3.4565,5.9681
0.1003,0.0234,0.3682,0.5672,3.5142,3.7135
0.4555,0.4861,0.4172,0.1203,8.5018,1.6633
0.2279,0.2244,0.4966,0.8227,1.0685,8.1756
0.4539,0.0689,0.0445,0.596,3.3607,4.1295
0.1274,0.1601,0.4543,0.1761,1.7902,6.615
0.148,0.2621,0.0728,0.5482,2.3105,5.5131
0.933,0.9267,0.1379,0.6905,5.0378,3.4699
0.3573,0.812,0.6824,0.2428,3.7214,6.2633
0.3298,0.2031,0.207,0.3268,6.4906,2.5904
0.3652,0.216,0.5606,0.0687,9.3836,-0.2021
0.4999,0.8394,0.2386,0.964,8.3532,0.9924
0.2725,0.0397,0.3298,0.5736,3.6503,3.7815
0.3796,0.1917,0.1559,0.2266,7.5638,1.1142
0.5071,0.5581,0.1973,0.3651,6.0454,2.9895
0.4316,0.98,0.166,0.0628,9.4895,-0.7203
0.0279,0.1511,0.292,0.7925,-0.2769,7.562
0.6308,0.3851,0.1332,0.8044,6.392,2.0705
0.24,0.6227,0.5589,0.5901,3.7016,5.6533
0.5491,0.3046,0.1295,0.6815,4.8944,3.5313
0.2172,0.4533,0.1322,0.9016,7.562,0.8903
0.5442,0.2349,0.3303,0.8923,0.3843,8.9347
0.9284,0.1726,0.4475,0.9034,-0.2636,9.0903
0.8454,0.37,0.8423,0.8845,1.3716,8.6592
0.664,0.5821,0.0207,0.9092,7.4334,-0.2395
0.9297,0.3313,0.4899,0.1816,8.0846,1.7923
0.3863,0.3707,0.4507,0.7638,2.519,7.5148
0.7248,0.3064,0.7989,0.0325,9.6186,0.1383
0.815,0.8369,0.3719,0.7636,6.3286,3.7093
0.0044,0.0927,0.5392,0.9625,-2.8616,9.8432
0.1656,0.9384,0.6744,0.3726,4.3537,4.4114
0.0937,0.1317,0.8559,0.3234,3.3798,4.6756
0.1267,0.3327,0.2919,0.114,1.031,7.3669
0.6585,0.9386,0.0469,0.4489,4.0226,3.4964
0.4769,0.6876,0.3638,0.593,4.6975,5.3117
0.6059,0.7331,0.8796,0.6852,3.7295,6.3771
0.877,0.6417,0.1461,0.8022,6.4007,2.186
0.1615,0.539,0.8655,0.4667,5.1124,3.6169
0.4621,0.9163,0.8782,0.3038,4.5088,5.7281
0.1383,0.6857,0.9304,0.1959,2.1067,6.4051
0.0201,0.3429,0.2376,0.6122,2.0783,5.1074
0.4669,0.2519,0.8746,0.4096,5.688,3.7479
0.3202,0.1209,0.6194,0.0045,10.2193,-1.8788
0.4159,0.5684,0.6518,0.4778,5.0986,5.0634
0.5648,0.2926,0.3792,0.9884,-0.1795,9.8626
0.7301,0.1583,0.9854,0.342,6.2094,2.4901
0.4804,0.3506,0.7706,0.0203,9.6238,0.3352
0.4035,0.5661,0.3366,0.8401,7.0615,2.839
0.6095,0.5009,0.54,0.4402,5.2231,5.0333
0.1537,0.0424,0.0154,0.4909,7.3689,-0.2437
0.6808,0.7671,0.1218,0.267,7.0177,1.3321
0.8291,0.6059,0.2673,0.9566,8.2639,1.2705
0.6782,0.3046,0.8308,0.9549,0.2546,9.4931
0.7258,0.1639,0.7667,0.9532,-0.9247,9.6744
0.3779,0.6824,0.564,0.0756,2.2139,7.8435
0.255,0.4737,0.4127,0.5521,4.5241,4.9323
0.2652,0.4699,0.9311,0.7069,2.5742,6.9468
0.8371,0.8363,0.2103,0.7065,5.4773,3.6601
0.0103,0.3184,0.538,0.7612,-0.035,7.0944
0.4022,0.0123,0.2609,0.9328,-2.3524,9.4375
0.2888,0.3753,0.459,0.9885,-0.2107,9.8722
0.8138,0.4043,0.664,0.3296,6.6242,3.5101
0.2579,0.846,0.9768,0.3479,4.4481,5.0268
0.0804,0.9291,0.1578,0.5892,2.8226,5.0861
0.7723,0.0077,0.2153,0.8829,-1.729,8.7537
0.1706,0.3673,0.7451,0.9286,-0.5746,9.3849
0.2425,0.9699,0.5536,0.457,5.6787,3.6936
0.4554,0.8613,0.7033,0.1016,2.7575,7.4723
0.9001,0.9306,0.9197,0.1582,3.1119,5.0102
0.116,0.7476,0.6535,0.0911,0.6628,7.6275
0.1993,0.5944,0.541,0.4696,5.107,3.9433
0.6012,0.4443,0.1618,0.2169,7.6855,1.0457
0.4041,0.0983,0.8289,0.6606,2.0496,6.055
0.8841,0.5069,0.1497,0.4094,5.3866,3.234
0.4126,0.2129,0.9393,0.7035,2.3123,6.8446
0.1845,0.8474,0.8818,0.6759,2.4497,6.4796
0.1945,0.8331,0.9292,0.7571,1.5893,7.423
0.2755,0.6157,0.3422,0.6768,2.9434,6.6412
0.3809,0.033,0.9021,0.966,-2.5376,9.8864
0.9364,0.814,0.6092,0.1827,7.309,2.7884
0.2766,0.5444,0.333,0.501,-0.1533,9.7441
0.9444,0.6957,0.1767,0.0458,9.679,-0.8165
0.8613,0.5949,0.1378,0.1564,8.3786,0.1281
0.768,0.713,0.3179,0.6206,4.8614,4.953
0.1033,0.6063,0.5123,0.2216,2.1733,5.9846
0.9374,0.3849,0.5415,0.3767,6.1913,3.8887
0.3275,0.7754,0.7856,0.1508,2.7055,7.154
0.3588,0.9337,0.5716,0.2441,3.7388,6.2519
0.8818,0.9109,0.7419,0.5369,4.2209,5.255
0.7291,0.8764,0.5683,0.8186,6.5504,3.6434
0.3465,0.3839,0.1604,0.7437,5.7506,2.9684
0.4638,0.5156,0.5923,0.4915,3.7012,6.5378
0.7134,0.6697,0.1921,0.281,6.9891,2.0037
0.1426,0.3889,0.579,0.0411,0.2869,8.267
0.1572,0.5866,0.8859,0.9358,-0.7849,9.4742
0.9647,0.4703,0.8981,0.2442,7.2911,2.9541
0.5424,0.6184,0.2496,0.3154,6.6946,2.726
0.012,0.4433,0.0333,0.6169,1.949,5.1321
0.9517,0.6347,0.8922,0.8809,2.3888,7.6256
0.858,0.0434,0.2864,0.4598,4.2631,3.2138
0.4676,0.1137,0.8981,0.0804,9.2926,-1.026
0.3195,0.345,0.5686,0.8397,1.5155,8.307
0.099,0.3667,0.9222,0.8578,-0.4049,8.5177
0.7703,0.4481,0.704,0.7778,2.6962,7.5243
0.8217,0.8314,0.0399,0.0307,9.9317,-2.4979
0.4143,0.3281,0.6199,0.0971,8.9256,0.9369
0.7038,0.4259,0.8186,0.3037,6.8423,3.3403
0.0107,0.1957,0.8929,0.5261,2.197,4.8665
0.0509,0.6993,0.31,0.4237,5.367,2.2002
0.3475,0.4893,0.6238,0.3274,4.5104,5.4363
0.6512,0.8603,0.9866,0.8064,2.9181,7.0337
0.4293,0.5673,0.245,0.3369,6.4563,2.9334
0.6292,0.7749,0.0713,0.298,6.4946,1.3115
0.2307,0.3156,0.2916,0.2135,2.8759,6.4133
0.065,0.2153,0.4841,0.8035,-0.0483,7.7816
0.9624,0.0521,0.1589,0.0593,9.5542,-1.9726
0.7987,0.0439,0.9873,0.2409,7.1594,0.3236
0.0374,0.1607,0.2726,0.3328,3.1407,4.2624
0.888,0.0146,0.8815,0.9791,-2.9537,10.0686
0.886,0.7351,0.2324,0.3237,6.5786,2.7229
0.2012,0.5967,0.8503,0.3091,3.7892,5.2764
0.3006,0.6566,0.3223,0.1828,2.9023,6.8239
0.3928,0.7839,0.831,0.3512,4.8306,5.272
0.4118,0.971,0.6447,0.204,3.527,6.6258
0.4596,0.877,0.574,0.4876,4.235,5.9998
0.9736,0.9519,0.1927,0.9422,8.1028,0.8941
0.4522,0.0329,0.2346,0.2604,6.8708,0.4769
0.6287,0.2454,0.1921,0.3709,5.9665,3.0264
0.9201,0.0976,0.9102,0.6971,1.5883,6.5091
0.8085,0.0954,0.3285,0.1458,8.4716,-0.3977
0.8454,0.7649,0.2317,0.7629,6.1545,3.1419
0.5605,0.1959,0.6222,0.3895,5.7654,3.2582
0.0544,0.3167,0.4907,0.8386,-0.6101,8.2193
0.9881,0.0411,0.2211,0.3239,6.0539,1.3943
0.4534,0.5893,0.429,0.5203,5.3979,4.7908
0.4762,0.0944,0.1448,0.9565,-1.6863,9.7499
0.0136,0.2871,0.0243,0.9291,-2.2869,9.3895
0.0969,0.7064,0.1109,0.3886,4.2138,3.8755
0.892,0.1853,0.971,0.1112,8.9222,0.0142
0.3538,0.8031,0.3801,0.7189,2.8752,7.096
0.8005,0.6983,0.9022,0.5862,4.3264,5.4059
0.2863,0.5869,0.3685,0.796,1.7618,7.8854
0.4725,0.2471,0.1728,0.6579,4.7938,4.035
0.4659,0.819,0.6066,0.2926,4.4182,5.8229
0.5389,0.0791,0.4553,0.4642,4.6134,3.2809
0.5384,0.686,0.1372,0.0295,9.9023,-1.4008
0.238,0.2991,0.4414,0.2426,3.2311,6.1105
0.3538,0.3853,0.9473,0.0994,2.3266,7.6446
0.9787,0.0169,0.8552,0.5574,3.3871,3.7576
0.2226,0.089,0.0815,0.6695,4.5232,3.3978
0.7857,0.0133,0.4703,0.3976,4.9446,2.1538
0.7508,0.9223,0.7041,0.0557,7.6132,2.0884
0.3333,0.463,0.4698,0.1548,2.7719,7.1142
0.2255,0.6743,0.9581,0.726,2.1405,7.1108
0.4428,0.3966,0.77,0.3843,6.1237,3.9902
0.2053,0.5284,0.9717,0.9125,-0.0807,9.1791
0.4844,0.167,0.5806,0.5731,4.3293,4.4481
0.5914,0.3626,0.2291,0.8276,6.8584,2.4195
0.1595,0.2157,0.683,0.8497,0.249,8.4618
0.053,0.7274,0.2732,0.8297,-0.509,8.1018
0.5834,0.8876,0.8958,0.4413,5.9122,4.2519
0.171,0.1681,0.939,0.6177,3.0241,5.7635
0.1549,0.1807,0.9317,0.9357,-0.8064,9.4751
0.4988,0.8073,0.2906,0.2289,7.6306,2.0412
0.5729,0.7057,0.6136,0.607,4.2943,5.8914
0.6018,0.7423,0.4813,0.1608,7.9637,2.2876
0.6499,0.8851,0.2223,0.5863,4.1848,5.0429
0.8047,0.8604,0.9162,0.9818,1.972,7.0465
0.6924,0.144,0.5297,0.2673,7.061,1.5061
0.5429,0.27,0.2151,0.2555,7.307,1.8674
0.5539,0.2957,0.8638,0.1657,8.2774,1.4221
0.4279,0.4577,0.8508,0.3857,5.1879,4.9987
0.6972,0.005,0.5116,0.4519,3.8274,3.1623
0.4389,0.3294,0.6045,0.6693,3.26,6.6087
0.0553,0.7166,0.7028,0.3799,3.8728,3.7467
0.2996,0.4939,0.696,0.943,0.339,9.3821
0.5078,0.7216,0.9558,0.0124,2.1886,8.0668
0.8731,0.5339,0.2443,0.8504,7.1243,2.2603
0.5468,0.1161,0.9633,0.1924,7.9188,0.3724
0.8071,0.244,0.9475,0.9044,0.3241,9.0584
0.4185,0.7989,0.0274,0.0693,9.4158,-2.1378
0.8773,0.2994,0.7807,0.0638,9.3149,0.4051
0.2239,0.964,0.7965,0.5024,-0.1584,9.3984
0.0529,0.5703,0.0582,0.8084,-0.232,7.8228
0.2522,0.6609,0.6204,0.4841,4.0995,5.3385
0.7158,0.51,0.8775,0.4805,6.3071,3.9483
0.4299,0.9823,0.3691,0.1125,8.6918,1.3359
0.7282,0.8247,0.2596,0.511,6.7998,2.6864
0.7384,0.9707,0.6261,0.7864,6.1439,3.9002
0.1782,0.6071,0.3339,0.6562,2.6378,6.2381
0.0111,0.7034,0.8009,0.8656,-1.4513,8.521
0.8903,0.7747,0.274,0.505,6.8144,2.761
0.898,0.3617,0.4455,0.552,4.8168,5.1842
0.1222,0.5753,0.0832,0.4624,4.5628,3.3777
0.6228,0.5367,0.9969,0.083,8.3816,1.8563
0.3616,0.9319,0.0257,0.5534,1.9484,5.3091
